symbol
ASIANPAINT.NS
TCS.NS
RELIANCE.NS
HDFCBANK.NS
INFY.NS
ICICIBANK.NS
ITC.NS
KOTAKBANK.NS
LT.NS
SBIN.NS
BHARTIARTL.NS
HINDUNILVR.NS
BAJFINANCE.NS
HCLTECH.NS
ADANIENT.NS
AXISBANK.NS
WIPRO.NS
ULTRACEMCO.NS
TECHM.NS
POWERGRID.NS
TITAN.NS
MARUTI.NS
NTPC.NS
SUNPHARMA.NS
JSWSTEEL.NS
TATASTEEL.NS
COALINDIA.NS
HINDALCO.NS
DIVISLAB.NS
GRASIM.NS
NESTLEIND.NS
SBILIFE.NS
HDFCLIFE.NS
BAJAJ-AUTO.NS
BPCL.NS
IOC.NS
EICHERMOT.NS
BRITANNIA.NS
CIPLA.NS
SHREECEM.NS
M&M.NS
ADANIPORTS.NS
BAJAJFINSV.NS
DRREDDY.NS
HEROMOTOCO.NS
UPL.NS
TATACONSUM.NS
INDUSINDBK.NS
GAIL.NS
ONGC.NS
